event_id,session_id,timestamp,source,build_id,ship_type,mass,resistance,instability,distance,beam_count,beam_slots,beam_power_sum,required_power,effective_power,margin,risk_score,verdict,actual_outcome,is_labeled,outcome_comment
synthetic-42-00021,synthetic_seed_42,2026-05-25T12:21:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,20826.867,0.317,0.074,38.982,1,main,76.79,37.599,85.761,48.162,0.219,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00022,synthetic_seed_42,2026-05-25T12:22:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,8970.865,0.3,0.058,100.912,1,main,79.078,19.175,54.805,35.63,0.183,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00023,synthetic_seed_42,2026-05-25T12:23:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,48184.194,0.5,0.237,157.818,1,main,84.391,147.143,131.335,-15.808,0.809,need_more_power,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00024,synthetic_seed_42,2026-05-25T12:24:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,50245.332,0.703,0.122,158.257,1,main,45.512,183.073,126.415,-56.658,1.0,need_more_power,not_enough_power,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00025,synthetic_seed_42,2026-05-25T12:25:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,23326.816,0.079,0.075,70.412,1,main,62.901,33.859,58.913,25.054,0.178,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00026,synthetic_seed_42,2026-05-25T12:26:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,67040.275,0.296,0.223,154.801,1,main,99.298,163.887,172.897,9.01,0.545,take,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00027,synthetic_seed_42,2026-05-25T12:27:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,7226.87,0.287,0.046,81.437,1,main,92.74,14.393,29.57,15.177,0.153,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00028,synthetic_seed_42,2026-05-25T12:28:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,71454.001,0.295,0.165,78.169,1,main,82.812,142.222,132.652,-9.57,0.535,need_more_power,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00029,synthetic_seed_42,2026-05-25T12:29:00+00:00,synthetic,mole_manual_v1,mole,34797.498,0.123,0.119,38.556,2,"main,left",162.937,48.792,95.942,47.15,0.284,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00030,synthetic_seed_42,2026-05-25T12:30:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,16673.14,0.088,0.128,46.311,1,main,74.348,22.752,64.213,41.461,0.296,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00031,synthetic_seed_42,2026-05-25T12:31:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,10244.343,0.324,0.093,45.434,1,main,59.333,19.054,45.038,25.984,0.263,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00032,synthetic_seed_42,2026-05-25T12:32:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,50029.068,0.534,0.202,145.632,1,main,94.441,153.093,100.336,-52.757,1.0,need_more_power,not_enough_power,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00033,synthetic_seed_42,2026-05-25T12:33:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,92022.406,0.39,0.163,169.351,1,main,86.221,258.574,274.103,15.529,0.429,take,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00034,synthetic_seed_42,2026-05-25T12:34:00+00:00,synthetic,mole_manual_v1,mole,108626.878,0.689,0.218,169.92,2,"main,left",171.022,402.246,400.692,-1.554,0.624,skip,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00035,synthetic_seed_42,2026-05-25T12:35:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,33993.661,0.283,0.114,91.752,1,main,67.872,69.388,114.607,45.219,0.301,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00036,synthetic_seed_42,2026-05-25T12:36:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,79818.714,0.327,0.325,105.633,1,main,88.744,178.27,167.004,-11.266,0.915,need_more_power,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00037,synthetic_seed_42,2026-05-25T12:37:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,65522.389,0.411,0.164,62.636,1,main,64.313,141.497,151.297,9.8,0.434,take,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00038,synthetic_seed_42,2026-05-25T12:38:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,42531.292,0.312,0.461,57.203,1,main,99.095,81.069,107.551,26.482,1.0,risky,overheated,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00039,synthetic_seed_42,2026-05-25T12:39:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,24300.566,0.15,0.104,65.548,1,main,94.417,38.656,52.976,14.32,0.257,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00040,synthetic_seed_42,2026-05-25T12:40:00+00:00,synthetic,mole_manual_v1,mole,17454.333,0.063,0.062,71.394,2,"main,left",175.682,24.765,65.36,40.595,0.148,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00041,synthetic_seed_42,2026-05-25T12:41:00+00:00,synthetic,mole_manual_v1,mole,47537.073,0.107,0.062,101.421,2,"main,left",184.137,78.824,116.489,37.665,0.155,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00042,synthetic_seed_42,2026-05-25T12:42:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,10614.134,0.311,0.071,81.683,1,main,70.069,21.758,62.83,41.072,0.212,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00043,synthetic_seed_42,2026-05-25T12:43:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,12563.363,0.243,0.055,87.369,1,main,64.439,24.122,59.301,35.179,0.166,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00044,synthetic_seed_42,2026-05-25T12:44:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,31178.03,0.138,0.035,90.003,1,main,80.446,52.406,76.229,23.823,0.102,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00045,synthetic_seed_42,2026-05-25T12:45:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,78938.616,0.601,0.251,157.557,1,main,60.608,263.917,273.776,9.859,0.661,skip,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00046,synthetic_seed_42,2026-05-25T12:46:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,42781.672,0.668,0.42,92.188,1,main,55.952,127.661,140.973,13.312,1.0,risky,overheated,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00047,synthetic_seed_42,2026-05-25T12:47:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,118650.626,0.513,0.209,133.71,1,main,76.662,345.709,359.659,13.95,0.552,skip,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00048,synthetic_seed_42,2026-05-25T12:48:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,18135.376,0.166,0.028,83.134,1,main,91.028,31.081,79.661,48.58,0.091,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00049,synthetic_seed_42,2026-05-25T12:49:00+00:00,synthetic,mole_manual_v1,mole,49813.122,0.113,0.106,83.714,2,"main,left",150.377,79.301,113.942,34.641,0.255,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00050,synthetic_seed_42,2026-05-25T12:50:00+00:00,synthetic,mole_manual_v1,mole,50865.251,0.605,0.28,163.668,2,"main,left",194.504,173.098,174.893,1.795,0.725,risky,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00051,synthetic_seed_42,2026-05-25T12:51:00+00:00,synthetic,mole_manual_v1,mole,40695.878,0.259,0.071,93.14,2,"main,left",156.543,81.002,131.274,50.272,0.202,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00052,synthetic_seed_42,2026-05-25T12:52:00+00:00,synthetic,mole_manual_v1,mole,33107.094,0.125,0.04,79.636,2,"main,left",172.67,52.991,85.971,32.98,0.11,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00053,synthetic_seed_42,2026-05-25T12:53:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,39753.12,0.444,0.329,76.906,1,main,49.432,92.681,113.686,21.005,0.804,risky,too_unstable,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00054,synthetic_seed_42,2026-05-25T12:54:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,18108.023,0.094,0.036,64.041,1,main,70.243,26.4,56.833,30.433,0.095,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00055,synthetic_seed_42,2026-05-25T12:55:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,31153.844,0.163,0.102,101.224,1,main,58.723,55.978,105.488,49.51,0.255,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00056,synthetic_seed_42,2026-05-25T12:56:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,42371.453,0.556,0.176,151.078,1,main,68.046,134.023,76.445,-57.578,1.0,need_more_power,not_enough_power,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00057,synthetic_seed_42,2026-05-25T12:57:00+00:00,synthetic,mole_manual_v1,mole,71591.827,0.704,0.336,58.2,2,"main,left",132.774,198.648,221.617,22.969,0.866,risky,overheated,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00058,synthetic_seed_42,2026-05-25T12:58:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,30146.127,0.26,0.111,99.368,1,main,94.287,61.169,94.739,33.57,0.291,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00059,synthetic_seed_42,2026-05-25T12:59:00+00:00,synthetic,mole_manual_v1,mole,56992.303,0.312,0.386,46.534,2,"main,left",95.531,104.952,127.035,22.083,0.905,risky,overheated,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00060,synthetic_seed_42,2026-05-25T13:00:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,13138.148,0.145,0.101,61.539,1,main,85.824,20.482,67.751,47.269,0.249,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00061,synthetic_seed_42,2026-05-25T13:01:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,9375.281,0.056,0.075,104.994,1,main,70.949,14.479,53.386,38.907,0.174,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00062,synthetic_seed_42,2026-05-25T13:02:00+00:00,synthetic,mole_manual_v1,mole,42846.506,0.269,0.124,48.955,2,"main,left",117.508,75.542,91.552,16.01,0.321,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00063,synthetic_seed_42,2026-05-25T13:03:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,58605.81,0.325,0.29,139.359,1,main,78.399,142.618,125.169,-17.449,0.914,need_more_power,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00064,synthetic_seed_42,2026-05-25T13:04:00+00:00,synthetic,mole_manual_v1,mole,74001.016,0.299,0.173,118.655,2,"main,left",153.338,165.7,182.5,16.8,0.435,take,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00065,synthetic_seed_42,2026-05-25T13:05:00+00:00,synthetic,mole_manual_v1,mole,27641.883,0.323,0.034,76.447,2,"main,left",177.462,56.567,76.738,20.171,0.133,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00066,synthetic_seed_42,2026-05-25T13:06:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,61915.835,0.402,0.286,138.465,1,main,64.096,163.578,181.492,17.914,0.702,skip,too_unstable,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00067,synthetic_seed_42,2026-05-25T13:07:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,17746.555,0.197,0.051,94.47,1,main,88.426,32.762,46.617,13.855,0.147,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00068,synthetic_seed_42,2026-05-25T13:08:00+00:00,synthetic,mole_manual_v1,mole,121925.877,0.598,0.172,161.72,2,"main,left",178.902,410.545,388.501,-22.044,0.762,need_more_power,not_enough_power,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00069,synthetic_seed_42,2026-05-25T13:09:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,21021.428,0.176,0.098,53.788,1,main,89.513,33.422,80.636,47.214,0.247,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00070,synthetic_seed_42,2026-05-25T13:10:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,32567.304,0.121,0.066,77.723,1,main,72.023,51.495,61.815,10.32,0.166,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00071,synthetic_seed_42,2026-05-25T13:11:00+00:00,synthetic,mole_manual_v1,mole,76954.194,0.39,0.097,118.771,2,"main,left",186.812,190.871,199.602,8.731,0.283,take,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00072,synthetic_seed_42,2026-05-25T13:12:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,80779.88,0.339,0.41,76.529,1,main,82.984,168.268,201.32,33.052,0.964,risky,overheated,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00073,synthetic_seed_42,2026-05-25T13:13:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,70234.997,0.389,0.093,108.418,1,main,81.518,169.14,148.488,-20.652,0.533,need_more_power,not_enough_power,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00074,synthetic_seed_42,2026-05-25T13:14:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,54917.16,0.491,0.419,63.117,1,main,59.9,128.626,159.632,31.006,1.0,risky,overheated,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00075,synthetic_seed_42,2026-05-25T13:15:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,69932.472,0.371,0.303,159.597,1,main,55.535,188.321,194.378,6.057,0.733,risky,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00076,synthetic_seed_42,2026-05-25T13:16:00+00:00,synthetic,mole_manual_v1,mole,22207.479,0.221,0.101,76.775,2,"main,left",188.558,40.207,87.508,47.301,0.262,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00077,synthetic_seed_42,2026-05-25T13:17:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,25689.843,0.185,0.443,71.06,1,main,75.435,43.618,66.898,23.28,1.0,risky,too_unstable,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00078,synthetic_seed_42,2026-05-25T13:18:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,89581.051,0.581,0.063,96.043,1,main,71.329,251.037,254.155,3.118,0.242,skip,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00079,synthetic_seed_42,2026-05-25T13:19:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,36178.444,0.634,0.114,62.188,1,main,76.736,95.964,93.093,-2.871,0.401,skip,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00080,synthetic_seed_42,2026-05-25T13:20:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,48532.597,0.49,0.107,179.483,1,main,87.044,154.415,154.547,0.132,0.323,skip,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00081,synthetic_seed_42,2026-05-25T13:21:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,29931.484,0.115,0.073,66.536,1,main,74.381,45.403,93.971,48.568,0.181,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00082,synthetic_seed_42,2026-05-25T13:22:00+00:00,synthetic,mole_manual_v1,mole,23795.913,0.23,0.083,86.806,2,"main,left",186.122,44.887,63.445,18.558,0.224,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00083,synthetic_seed_42,2026-05-25T13:23:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,29308.111,0.303,0.103,55.294,1,main,77.66,54.953,50.226,-4.727,0.339,skip,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00084,synthetic_seed_42,2026-05-25T13:24:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,60200.811,0.356,0.229,101.05,1,main,59.551,137.123,139.325,2.202,0.568,skip,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00085,synthetic_seed_42,2026-05-25T13:25:00+00:00,synthetic,mole_manual_v1,mole,39438.427,0.283,0.034,43.034,2,"main,left",132.636,69.392,85.246,15.854,0.125,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00086,synthetic_seed_42,2026-05-25T13:26:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,41998.426,0.3,0.108,158.661,1,main,60.874,104.103,112.349,8.246,0.291,take,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00087,synthetic_seed_42,2026-05-25T13:27:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,53785.619,0.529,0.43,91.911,1,main,47.192,142.091,140.343,-1.748,1.0,risky,too_unstable,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00088,synthetic_seed_42,2026-05-25T13:28:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,16347.326,0.123,0.021,102.334,1,main,88.93,27.809,63.268,35.459,0.068,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00089,synthetic_seed_42,2026-05-25T13:29:00+00:00,synthetic,mole_manual_v1,mole,47117.337,0.462,0.307,94.302,2,"main,left",120.597,117.642,126.024,8.382,0.758,risky,too_unstable,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00090,synthetic_seed_42,2026-05-25T13:30:00+00:00,synthetic,mole_manual_v1,mole,113730.673,0.626,0.056,103.056,2,"main,left",163.715,337.718,312.386,-25.332,0.553,need_more_power,not_enough_power,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00091,synthetic_seed_42,2026-05-25T13:31:00+00:00,synthetic,mole_manual_v1,mole,25139.201,0.251,0.045,101.164,2,"main,left",176.204,50.708,85.012,34.304,0.143,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00092,synthetic_seed_42,2026-05-25T13:32:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,16120.998,0.144,0.126,63.292,1,main,77.04,25.232,79.685,54.453,0.304,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00093,synthetic_seed_42,2026-05-25T13:33:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,22735.214,0.17,0.033,60.325,1,main,85.988,36.573,74.342,37.769,0.102,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00094,synthetic_seed_42,2026-05-25T13:34:00+00:00,synthetic,mole_manual_v1,mole,18195.703,0.209,0.121,65.668,2,"main,left",167.671,31.377,45.963,14.586,0.305,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00095,synthetic_seed_42,2026-05-25T13:35:00+00:00,synthetic,mole_manual_v1,mole,40487.942,0.119,0.029,73.559,2,"main,left",156.867,63.106,76.394,13.288,0.085,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00096,synthetic_seed_42,2026-05-25T13:36:00+00:00,synthetic,mole_manual_v1,mole,51224.248,0.276,0.33,109.821,2,"main,left",145.976,109.108,116.355,7.247,0.775,risky,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00097,synthetic_seed_42,2026-05-25T13:37:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,31206.994,0.334,0.039,73.589,1,main,72.193,64.131,115.537,51.406,0.147,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00098,synthetic_seed_42,2026-05-25T13:38:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,32500.461,0.301,0.043,90.3,1,main,73.353,67.479,119.454,51.975,0.149,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00099,synthetic_seed_42,2026-05-25T13:39:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,38364.407,0.363,0.256,164.879,1,main,53.173,103.692,100.726,-2.966,0.666,skip,bad,True,synthetic smoke-test row; do not use as real gameplay data
